id,department,problem,solution
15,بوابة الإسكان,خطأ أثناء تقديم الطلب,"تأكد من تعبئة جميع الحقول المطلوبة، وإذا استمرت المشكلة تواصل مع قسم بوابة الإسكان."
16,بوابة الإسكان,لا أستطيع تحميل المستندات,تحقق أن الملفات بصيغة PDF وأقل من 5 ميغابايت.
17,الدعم الفني للمعامل,أحد الأجهزة في المعمل لا يعمل,"تحقق من توصيل الكهرباء، ثم أبلغ الفني المختص في المعمل."
18,الدعم الفني للمعامل,الطابعة في المعمل لا تعمل,تحقق من تعريف الطابعة واتصالها بالشبكة أو أعد تشغيلها.
19,الدعم الفني للتحول الرقمي,لا أستطيع رفع الملفات في بوابة التحول الرقمي,"تأكد من صيغة الملف (PDF فقط) وحجمه، وإذا استمرت المشكلة تواصل مع الدعم الرقمي."
20,الدعم الفني للتحول الرقمي,مشكلة في تسجيل مبادرة رقمية,"تحقق من جميع الحقول المطلوبة وأعد المحاولة، أو تواصل مع الدعم الفني للتحول الرقمي."
21,الدعم الفني للتحول الرقمي,النماذج الإلكترونية لا تفتح,جرب تحديث الصفحة أو الدخول من متصفح آخر وتأكد من اتصال الإنترنت.
22,الدعم الفني والصيانة,تعطل أحد أجهزة الحاسب,"أعد تشغيل الجهاز وتأكد من توصيل الكهرباء، وإذا لم يعمل تواصل مع الصيانة."
23,الدعم الفني والصيانة,الفأرة أو لوحة المفاتيح لا تعمل,افصل الكابل وأعد توصيله أو جرّب منفذ USB آخر.
24,المجالس والتوظيف,لا أستطيع الدخول إلى نظام المجالس,"تحقق من اسم المستخدم وكلمة المرور، أو تواصل مع مسؤول النظام."
25,المجالس والتوظيف,مشكلة في رفع محضر اجتماع,تأكد من أن الملف بصيغة PDF وحجمه لا يتجاوز الحد المسموح.
26,الشبكات والإنترنت,ضعف تغطية شبكة الواي فاي في أحد المكاتب,"تأكد من عدم وجود عوائق بين الجهاز ونقطة الوصول، وإذا استمرت المشكلة يجب رفع طلب لتركيب نقطة وصول إضافية."
27,الشبكات والإنترنت,عدم ظهور شبكة WiFi في قائمة الشبكات,"أعد تشغيل كرت الشبكة من الإعدادات، ثم تحقق من أن الشبكة مفعلة وغير مخفية، وإذا لم تظهر قد تحتاج لعمل تحديث للتعريف."
28,الشبكات والإنترنت,الجهاز يفصل من الشبكة تلقائياً,"تحقق من إعدادات توفير الطاقة لكرت الشبكة، ثم احذف الشبكة وأعد إضافتها."
29,البوابة الإلكترونية,بيانات الطالب الشخصية لا تظهر كاملة,"سجّل خروج ثم دخول جديد، وإذا لم تظهر البيانات أرسل رقم الهوية ليتم تحديثها من النظام الأكاديمي."
30,البوابة الإلكترونية,لا يمكنني طباعة الجدول الدراسي,جرب الطباعة من متصفح آخر أو احفظ الجدول PDF ثم اطبعه.
31,البوابة الإلكترونية,حدوث تعليق عند تحديث البيانات,"امسح الكاش في المتصفح ثم حاول مرة أخرى، وإذا تكرر التعليق التقط صورة للشاشة."
32,إدارة أنظمة التشغيل,البريد يرسل رسائل مكررة تلقائياً,"تحقق من إعدادات البرامج المرتبطة بالبريد مثل Outlook، فقد يكون هناك حساب مكرر أو مزامنة خاطئة."
33,إدارة أنظمة التشغيل,طلب زيادة مساحة البريد,"يتم التقديم عبر النموذج الخاص بالمساحة الإضافية، مع توضيح الحاجة الفعلية وربطها بخطابات رسمية."
34,إدارة أنظمة التشغيل,مشكلة في إرسال بريد يحتوي على مرفقات,تأكد أن حجم المرفق لا يتجاوز الحد المسموح (25MB) أو استخدم OneDrive.
35,الدعم الفني لأنظمة التعلم الإلكتروني,المحتوى التفاعلي لا يعمل,"فعّل الجافا سكريبت وقم بتحديث المتصفح، ثم حاول الدخول من نافذة خاصة."
36,الدعم الفني لأنظمة التعلم الإلكتروني,عدم ظهور الدرجات في النظام,"قد يتطلب الأمر تحديثاً من عضو هيئة التدريس، انتظر 24 ساعة ثم راجع الدعم إن استمرت المشكلة."
37,الدعم الفني لأنظمة التعلم الإلكتروني,صفحة المقرر تظهر فارغة,"أعد الدخول ثم امسح الكاش، أو جرّب جهازاً آخر."
38,الدعم الفني لمنظومة وافي,مشكلة في التحقق بالرسائل النصية,تأكد من إدخال رقم الجوال الصحيح وتفعيل استقبال الرسائل من مزودي الخدمة.
39,الدعم الفني لمنظومة وافي,النظام لا يقبل رفع ملفات الهوية,احفظ الملف بصيغة PDF بحجم أقل من 2MB ثم حاول الرفع مرة أخرى.
40,الدعم الفني لمنظومة وافي,"خطأ ""المستخدم غير موجود""",تأكد من صحة بياناتك الوظيفية واطلب تحديثها من شؤون الموظفين.
41,بوابة الإسكان,مشكلة في حساب نقاط الاستحقاق,تأكد من إدخال البيانات العائلية بشكل صحيح ثم أعد حساب النقاط.
42,بوابة الإسكان,عدم القدرة على تعديل الطلب,"قد يكون الطلب تحت المعالجة، يجب الانتظار حتى تظهر حالة “قابل للتعديل”."
43,بوابة الإسكان,"النظام يعرض رسالة ""الخدمة غير متاحة""",حاول لاحقاً فقد تكون هناك صيانة مؤقتة.
44,الدعم الفني للمعامل,برنامج المختبر لا يعمل بعد التحديث,قم بإزالة النسخة وإعادة التثبيت بصلاحيات المسؤول.
45,الدعم الفني للمعامل,عدم قراءة جهاز المختبر لمدخل USB,"جرّب منفذ آخر أو جهاز مختلف، فقد تكون المشكلة في التعريف."
46,الدعم الفني للمعامل,بطء شديد في أجهزة المعمل,أعد تشغيل الأجهزة واحدة تلو الأخرى مع فحص موارد النظام.
47,الدعم الفني للتحول الرقمي,عدم ظهور المهام في منصة التحول,تحقق من الصلاحيات الممنوحة لحسابك أو اطلب تحديثها من الإدارة المختصة.
48,الدعم الفني للتحول الرقمي,النظام لا يقبل اعتماد المعاملة,تأكد من وجود توقيع إلكتروني فعال وعدم وجود بيانات ناقصة.
49,الدعم الفني للتحول الرقمي,فشل رفع المستندات في منصة التحول,حاول رفع المستندات بصيغ رسمية فقط PDF أو JPG.
50,الدعم الفني والصيانة,ارتفاع حرارة الجهاز,نظّف فتحات التهوية وتأكد من عمل المراوح بشكل جيد.
51,الدعم الفني والصيانة,لوحة المفاتيح لا تستجيب,افصل الجهاز وأعد التشغيل أو استخدم لوحة مفاتيح خارجية للاختبار.
52,الدعم الفني والصيانة,الطلب على صيانة جهاز معطل,يجب تعبئة نموذج البلاغ مع رقم الأصل ورقم الغرفة.
53,المجالس والتوظيف,لا يمكن رفع السيرة الذاتية,احفظ الملف PDF بحجم أقل من 5MB وحاول رفعه.
54,المجالس والتوظيف,عدم وصول رسالة تفعيل الحساب,تحقق من صندوق البريد غير الهام ثم اطلب إعادة إرسال الرسالة.
55,المجالس والتوظيف,النظام يعرض “طلبك غير مكتمل”,تأكد من رفع جميع المستندات المطلوبة.
56,الدعم الفني للتحول الرقمي,عدم قدرة المستخدم على التسجيل في المنصة,تحقق من صحة البريد المفعّل والهوية المرتبطة بالحساب.
57,الدعم الفني للتحول الرقمي,النظام يرفض إدخال تاريخ المعاملة,استخدم تنسيق التاريخ المعتمد YYYY-MM-DD.
58,الدعم الفني للتحول الرقمي,خطأ في إرسال المعاملة للجهة المعنية,قد تكون الصلاحية غير مفعلة ويجب التواصل مع مدير النظام.
59,الشبكات والإنترنت,شبكة VPN لا تتصل,تحقق من إعدادات الاتصال واستعمل برنامج VPN الرسمي للمؤسسة.
60,الشبكات والإنترنت,بطء في تحميل الملفات الكبيرة,جرب استخدام كابل شبكة بدل WiFi لتسريع التحميل.
61,الشبكات والإنترنت,انقطاع الشبكة عند تشغيل عدة أجهزة في المكتب,تحقق من سلامة السويتش المستخدم ثم افصل الأجهزة غير اللازمة وأعد توزيع الأحمال.
62,الشبكات والإنترنت,توقف نقطة الوصول عن بث الإشارة,أعد تشغيل نقطة الوصول وتأكد من توصيلها بمصدر طاقة ثابت.
63,الشبكات والإنترنت,عدم قدرة الحاسب على الحصول على عنوان IP,تحقق من إعدادات DHCP ثم جرّب تجديد العنوان باستخدام ipconfig /renew.
64,الشبكات والإنترنت,فشل الاتصال بالطابعة عبر الشبكة,أعد إضافة الطابعة باستخدام عنوانها الثابت وتحقق من توفر Ping.
65,الشبكات والإنترنت,ارتفاع زمن الاستجابة أثناء الاجتماعات,أغلق التطبيقات التي تستهلك الشبكة واعتمد اتصالاً سلكياً إن أمكن.
66,البوابة الإلكترونية,صفحة الحذف والإضافة لا تستجيب,امسح ملفات الكاش وجرب الدخول من متصفح آخر.
67,البوابة الإلكترونية,عدم تحميل كشف الدرجات,تأكد من اتصالك بالإنترنت ثم حاول التحميل بصيغة PDF.
68,البوابة الإلكترونية,عدم ظهور إشعارات الطالب الجديدة,سجّل خروجاً ثم ادخل مجدداً لتحديث بيانات الجلسة.
69,البوابة الإلكترونية,تعطل صفحة الجدول الدراسي,استخدم وضع التصفح الخفي لتجنب الأخطاء المرتبطة بالكوكيز.
70,البوابة الإلكترونية,خطأ عند تحديث العنوان الوطني,تأكد من صحة البيانات المدخلة وتوافقها مع السجل المدني.
71,إدارة أنظمة التشغيل,توقف الـ Outlook عن المزامنة,أعد إنشاء ملف OST ثم أعد تشغيل البرنامج.
72,إدارة أنظمة التشغيل,عدم القدرة على تثبيت تحديث ويندوز,فعّل خدمة Windows Update ثم امسح مجلد SoftwareDistribution.
73,إدارة أنظمة التشغيل,تعطل برنامج الأوفيس بعد الترقية,أعد إصلاح الحزمة من لوحة التحكم عبر خيار Online Repair.
74,إدارة أنظمة التشغيل,عدم تعرف النظام على الشاشة الثانية,افحص كابل HDMI أو DisplayPort ثم حدث تعريف كرت الشاشة.
75,إدارة أنظمة التشغيل,تعطل الطباعة بعد تحديث النظام,أعد تثبيت تعريف الطابعة وتحقق من إعداد المنفذ الصحيح.
76,الدعم الفني لأنظمة التعلم الإلكتروني,عدم تمكن الطالب من أداء الاختبار رغم تسجيل الدخول,تأكد من السماح للنظام بالنوافذ المنبثقة ثم أعد تحميل الصفحة.
77,الدعم الفني لأنظمة التعلم الإلكتروني,اختفاء ملفات المحاضرات من صفحة المقرر,قم بإعادة تسجيل الدخول ثم حدّث الصفحة للتأكد من تحميل المحتوى.
78,الدعم الفني لأنظمة التعلم الإلكتروني,تعطل رفع الواجب عند الضغط على إرسال,غيّر اسم الملف إلى إنجليزي وجرب رفعه بصيغة PDF.
79,الدعم الفني لأنظمة التعلم الإلكتروني,مشاكل بالصوت داخل المحاضرة المباشرة,حدّث المتصفح واختر جهاز الإخراج الصحيح من الإعدادات.
80,الدعم الفني لأنظمة التعلم الإلكتروني,عدم تحميل الاختبارات الذاتية,استخدم اتصالاً مستقراً وجرب الدخول من جهاز آخر.
81,الدعم الفني لمنظومة وافي,عدم ظهور حالة الطلب الحالية,أعد تسجيل الدخول وانتظر تحديث البيانات من الجهة المختصة.
82,الدعم الفني لمنظومة وافي,فشل رفع المستندات الكبيرة,قلص حجم الملف أو ارفع المستند بصيغة PDF.
83,الدعم الفني لمنظومة وافي,تعطل صفحة تسجيل الدخول,جرب الدخول من نافذة خاصة وتأكد من عدم تفعيل VPN.
84,الدعم الفني لمنظومة وافي,ظهور بيانات قديمة في الحساب,اطلب تحديث البيانات من شؤون الموظفين.
85,الدعم الفني لمنظومة وافي,عدم وصول رمز التحقق للهاتف,تأكد من تغطية الشبكة وأعد طلب رمز جديد.
86,بوابة الإسكان,تأخر تحديث معلومات الملكية,انتظر 24 ساعة حتى تتزامن البيانات مع منصة العقار.
87,بوابة الإسكان,صعوبة رفع المستندات العائلية,احفظ المستندات بصيغة PDF وجرب رفعها من جهاز حاسب.
88,بوابة الإسكان,عدم اكتمال التحقق من العنوان الوطني,تأكد من صحة رقم الوحدة والعقار في البريد السعودي.
89,بوابة الإسكان,تعطل صفحة تحديث بيانات الدخل,استخدم المتصفح الرسمي الموصى به من المنصة.
90,بوابة الإسكان,فشل إرسال الطلب للمراجعة,أعد إدخال البيانات الناقصة ثم حاول الإرسال مرة أخرى.
91,الدعم الفني للمعامل,عدم تعرف برنامج المختبر على جهاز الفحص,أعد تثبيت التعريف وتحقق من الاتصال عبر USB.
92,الدعم الفني للمعامل,تعطل جهاز العرض داخل المعمل,تفقد كابل VGA/HDMI وأعد تشغيل الجهاز.
93,الدعم الفني للمعامل,فشل تسجيل النتائج داخل النظام,تحقق من مساحة التخزين وجرب حفظ الملف بصيغة أخرى.
94,الدعم الفني للمعامل,توقف أجهزة الحاسب في منتصف التجربة,تفقد درجات الحرارة وأعد تشغيل الجهاز بعد التبريد.
95,الدعم الفني للمعامل,بطء البرامج العلمية,أغلق البرامج الأخرى لتحرير الذاكرة وتشغيل البرنامج مجددًا.
96,الدعم الفني للتحول الرقمي,عدم ظهور مهام المعاملات الجديدة,أعد تحميل الصفحة وتأكد من وجود الصلاحيات المناسبة.
97,الدعم الفني للتحول الرقمي,تعطل اعتماد نموذج إلكتروني,تحقق من توقيعك الرقمي ثم حاول الاعتماد مجدداً.
98,الدعم الفني للتحول الرقمي,خطأ عند رفع المستند بصيغة PDF,احفظ المستند بصيغة قياسية وأعد رفعه.
99,الدعم الفني للتحول الرقمي,تأخر وصول الإشعارات,تحقق من ربط البريد بالمنصة وتفعيل التنبيهات.
100,الدعم الفني للتحول الرقمي,عدم قدرة المستخدم على تحديث ملفه,أعد تسجيل الدخول ثم أكمل الحقول المطلوبة.
101,الدعم الفني والصيانة,تعطل منفذ USB بالكامل,جرب منفذًا آخر ثم حدث تعريف اللوحة الأم.
102,الدعم الفني والصيانة,صدور صوت طنين من الجهاز,افحص المراوح ونظف فتحات التهوية.
103,الدعم الفني والصيانة,عدم إقلاع الجهاز,تحقق من سلامة القرص الصلب وتوصيلات الطاقة.
104,الدعم الفني والصيانة,تعطل شاشة اللمس,حدث تعريف الشاشة وحاول إعادة تشغيل الجهاز.
105,الدعم الفني والصيانة,إغلاق الجهاز بشكل مفاجئ,افحص حرارة الجهاز وتأكد من عمل المراوح.
106,المجالس والتوظيف,عدم ظهور الوظائف الحالية,حدّث الصفحة أو جرب الدخول من متصفح آخر.
107,المجالس والتوظيف,صعوبة تعديل السيرة الذاتية,استخدم ملف PDF بصيغة قياسية ثم أعد رفعه.
108,المجالس والتوظيف,اختفاء بيانات الطلب بعد الإرسال,أعد تسجيل الدخول لاستعادة المزامنة.
109,المجالس والتوظيف,مشكلة في رفع خطاب الخبرة,قلص حجم الملف إلى أقل من 5MB.
110,المجالس والتوظيف,تعطل صفحة المتقدمين,استخدم متصفحاً حديثاً وجرب التصفح الخفي.
